symbol,direction,timeframe,outcome,ai_score,signal_quality,rsi,ema50,ema200,trend,wave_bias,price,ai_entry,ai_tp,ai_sl,exit_price,pnl_pct,created_at_readable,matched_rules,failed_rules
RENDERUSDT,SHORT,5m,LOSS,79,GUT,61.9073900046,1.8930666817,1.9865956746,neutral,,1.928,1.928,1.8990799999999999,1.94728,1.94728,-1,2026-06-04 13:40:09,"RSI neutral-hoch (62)|EMA bearish (EMA50<EMA200, Dist 2.9%) – SHORT|Timeframe 5min – Entry-Timeframe v2.0|Preis nah an Resistance – günstig für SHORT|US-Open Session (13:30-16 UTC) – bevorzugte Zeit",
XAUTUSDT,LONG,5m,WIN,86,GUT,27.1463035317,4465.2652534785,4450.4610119799,neutral,,4451,4451,4517.765,4406.49,4455.06,0.09,2026-06-04 14:45:18,RSI überverkauft (27) – Pullback günstig für LONG|Timeframe 5min – Entry-Timeframe v2.0|Preis nah an Support – günstig für LONG|US-Open Session (13:30-16 UTC) – bevorzugte Zeit,Preis zu nah an EMA 200 (0.01%) – Ausschluss v2.0
TRXUSDT,SHORT,5m,WIN,75,GUT,68.6494717016,0.3294719813,0.3306278784,neutral,,0.3306,0.3306,0.325641,0.333906,0.3271,1.06,2026-06-04 15:50:08,RSI hoch (69) – passt zu Setup A SHORT|Timeframe 5min – Entry-Timeframe v2.0|Preis nah an Resistance – günstig für SHORT|US-Open Session (13:30-16 UTC) – bevorzugte Zeit,Preis zu nah an EMA 200 (0.01%) – Ausschluss v2.0
XAUTUSDT,SHORT,5m,WIN,85,GUT,66.3630620378,4424.0476149623,4434.8211051366,neutral,,4434.4,4434.4,4367.884,4478.744,4353.17,1.83,2026-06-05 07:15:12,RSI hoch (66) – passt zu Setup A SHORT|Timeframe 5min – Entry-Timeframe v2.0|Preis nah an Resistance – günstig für SHORT|London-Open Session (07-10 UTC) – bevorzugte Zeit,Preis zu nah an EMA 200 (0.01%) – Ausschluss v2.0
XRPUSDT,SHORT,5m,WIN,76,GUT,62.6217981449,1.1276645299,1.146927278,neutral,,1.1381,1.1381,1.1210285,1.149481,1.1067,2.76,2026-06-05 09:15:15,"RSI neutral-hoch (63)|EMA bearish (EMA50<EMA200, Dist 0.8%) – SHORT|Timeframe 5min – Entry-Timeframe v2.0|Preis nah an Resistance – günstig für SHORT|London-Open Session (07-10 UTC) – bevorzugte Zeit",
TRXUSDT,SHORT,5m,WIN,76,GUT,58.6202675674,0.3257309212,0.3281371182,neutral,,0.3259,0.3259,0.3210115,0.32915900000000003,0.3236,0.71,2026-06-05 09:40:05,"RSI neutral-hoch (59)|EMA bearish (EMA50<EMA200, Dist 0.7%) – SHORT|Timeframe 5min – Entry-Timeframe v2.0|Preis nah an Resistance – günstig für SHORT|London-Open Session (07-10 UTC) – bevorzugte Zeit",
SOLUSDT,SHORT,5m,LOSS,79,GUT,60.820349099,66.0343813508,67.408442323,neutral,,66.49,66.49,65.49265,67.1549,67.1549,-1,2026-06-05 09:55:05,"RSI neutral-hoch (61)|EMA bearish (EMA50<EMA200, Dist 1.4%) – SHORT|Timeframe 5min – Entry-Timeframe v2.0|Preis nah an Resistance – günstig für SHORT|London-Open Session (07-10 UTC) – bevorzugte Zeit",
XRPUSDT,SHORT,5m,WIN,89,GUT,55.5808216408,1.1294230452,1.145945113,neutral,,1.1341,1.1341,1.1170885000000002,1.1454410000000002,1.1068,2.41,2026-06-05 09:55:06,"RSI neutral-hoch (56)|EMA bearish (EMA50<EMA200, Dist 1.0%) – SHORT|Timeframe 5min – Entry-Timeframe v2.0|Preis nah an Resistance – günstig für SHORT|London-Open Session (07-10 UTC) – bevorzugte Zeit",
FETUSDT,SHORT,5m,WIN,91,PREMIUM,59.2773234574,0.2018484465,0.2098995685,bearish,,0.2034,0.2034,0.200349,0.205434,0.1915,5.85,2026-06-05 12:25:06,"RSI neutral-hoch (59)|EMA bearish (EMA50<EMA200, Dist 3.1%) – SHORT|Trend BEARISH – passt zu SHORT|Timeframe 5min – Entry-Timeframe v2.0|Preis nah an Resistance – günstig für SHORT",
VIRTUALUSDT,SHORT,5m,WIN,78,GUT,70.3719223028,0.5558302112,0.5738877025,bullish,,0.5675,0.5675,0.5589875,0.573175,0.5518,2.77,2026-06-05 21:35:06,"RSI überkauft (70) – Pullback günstig für SHORT|EMA bearish (EMA50<EMA200, Dist 1.1%) – SHORT|Timeframe 5min – Entry-Timeframe v2.0|Preis nah an Resistance – günstig für SHORT",Trend BULLISH – gegen SHORT
